new_id,image_path,category,style,season,prompt_hint
NEW001,NEW001.jpg,midi_dress,knitted,autumn,Blue knitted cardigan over gray tulle skirt, cozy cafe setting with warm ambient lighting
NEW002,NEW002.jpg,midi_dress,floral,spring,Light green floral midi dress with ruffled hem, garden scene with natural sunlight
NEW003,NEW003.jpg,maxi_dress,elegant,autumn,Camel high neck knitted dress, minimalist studio with soft diffused lighting
NEW004,NEW004.jpg,top,ethnic,autumn,Dark gray ethnic style pullover with loose cowl neck, bohemian interior with textured textiles
NEW005,NEW005.jpg,midi_dress,floral,spring,Pink floral midi dress with flowing skirt, outdoor garden scene with soft natural lighting
NEW006,NEW006.jpg,maxi_dress,elegant,all_season,Flowing elegant maxi dress, minimalist studio with professional lighting
NEW007,NEW007.jpg,skirt,casual,all_season,Casual skirt outfit, lifestyle photography setting
NEW_1773391299_006bf1d1,NEW_1773391299_006bf1d1.jpg,skirt,peasant,all_season,
NEW_1773454818_75e446cc,NEW_1773454818_75e446cc.jpg,midi_dress,formal,all_season,温馨的咖啡厅场景
NEW_1773469269_24ba47c3,NEW_1773469269_24ba47c3.jpg,maxi_dress,long,all_season,下午的夕阳海滩
NEW_1773470895_47628586,NEW_1773470895_47628586.jpg,maxi_dress,party,autumn,晴朗的沙滩
NEW_1773471116_082fb716,NEW_1773471116_082fb716.jpg,maxi_dress,party,autumn,晴朗的沙滩
NEW_1773472382_a51c5936,NEW_1773472382_a51c5936.jpg,mini_dress,casual,all_season,整洁的宿舍
NEW_1773472716_7a1a9b57,NEW_1773472716_7a1a9b57.jpg,maxi_dress,elegant,all_season,
NEW_1773473451_206a0ddb,NEW_1773473451_206a0ddb.jpg,maxi_dress,elegant,all_season,下午的晴朗的公园
NEW_1773473515_73ab2f39,NEW_1773473515_73ab2f39.jpg,maxi_dress,elegant,all_season,下午的晴朗的公园
NEW_1773473585_494cfed6,NEW_1773473585_494cfed6.jpg,maxi_dress,elegant,all_season,下午的晴朗的公园
NEW_1773473760_0dafb1f7,NEW_1773473760_0dafb1f7.jpg,maxi_dress,elegant,all_season,下午的晴朗的公园
NEW_1773474525_05442463,NEW_1773474525_05442463.jpg,midi_dress,elegant,autumn,白天晴朗的公园
NEW_1773476007_7f7393bd,NEW_1773476007_7f7393bd.jpg,midi_dress,casual,all_season,温馨的居家场景
NEW_1773476343_8ecf8bde,NEW_1773476343_8ecf8bde.jpg,maxi_dress,casual,all_season,温馨的居家场景
NEW_1773476675_72973842,NEW_1773476675_72973842.jpg,midi_dress,casual,all_season,晴朗的白天，需要一些造型pose
NEW_1773477119_a64d8f5a,NEW_1773477119_a64d8f5a.jpg,maxi_dress,casual,all_season,
NEW_1773477478_726fc887,NEW_1773477478_726fc887.jpg,maxi_dress,modern,all_season,
NEW_1773539814_bf6e04db,NEW_1773539814_bf6e04db.jpg,midi_dress,elegant,all_season,
NEW_1773735571_a24c4432,NEW_1773735571_a24c4432.jpg,maxi_dress,casual,all_season,
NEW_1773735855_922f067d,NEW_1773735855_922f067d.jpg,midi_dress,elegant,all_season,
NEW_1773736220_fc745377,NEW_1773736220_fc745377.jpg,maxi_dress,elegant,all_season,
NEW_1773736532_ec25c6ff,NEW_1773736532_ec25c6ff.jpg,midi_dress,elegant,all_season,
NEW_1773737458_2e4aa87d,NEW_1773737458_2e4aa87d.jpg,midi_dress,elegant,all_season,
NEW_1773737589_825ccb7b,NEW_1773737589_825ccb7b.jpg,skirt,elegant,all_season,
NEW_1773738281_e31e0347,NEW_1773738281_e31e0347.jpg,midi_dress,elegant,all_season,
NEW_1773738316_d251a893,NEW_1773738316_d251a893.jpg,midi_dress,elegant,all_season,
NEW_1773738554_c5a51060,NEW_1773738554_c5a51060.jpg,midi_dress,elegant,all_season,
NEW_1773738670_6f571ebd,NEW_1773738670_6f571ebd.jpg,maxi_dress,elegant,all_season,温馨的咖啡厅场景
NEW_1773749506_d81426fd,NEW_1773749506_d81426fd.jpg,pants,elegant,all_season,
NEW_1773750755_63bb96d7,NEW_1773750755_63bb96d7.jpg,midi_dress,casual,all_season,
NEW_1773751397_5f4dc6fc,NEW_1773751397_5f4dc6fc.jpg,maxi_dress,casual,all_season,
NEW_1773751482_523a0261,NEW_1773751482_523a0261.jpg,maxi_dress,casual,all_season,
NEW_1773819800_6c4bc9a0,NEW_1773819800_6c4bc9a0.jpg,midi_dress,casual,all_season,
NEW_1773819913_8cd86532,NEW_1773819913_8cd86532.jpg,midi_dress,casual,all_season,
NEW_1773830774_47952201,NEW_1773830774_47952201.jpg,maxi_dress,casual,all_season,
NEW_1773831069_f5cb0eac,NEW_1773831069_f5cb0eac.jpg,midi_dress,modern,all_season,
NEW_1773831091_01f3fd83,NEW_1773831091_01f3fd83.jpg,midi_dress,casual,all_season,
NEW_1773831638_c479e2a5,NEW_1773831638_c479e2a5.jpg,midi_dress,casual,all_season,
NEW_1773833096_27dbca63,NEW_1773833096_27dbca63.jpg,midi_dress,formal,all_season,夕阳下的沙滩
NEW_1773833353_46217fec,NEW_1773833353_46217fec.jpg,maxi_dress,elegant,all_season,夕阳的沙滩
NEW_1773834276_c751e029,NEW_1773834276_c751e029.jpg,maxi_dress,elegant,all_season,夕阳的沙滩
NEW_1773834661_11b24fea,NEW_1773834661_11b24fea.jpg,midi_dress,casual,all_season,温馨的咖啡厅
NEW_1773834729_ba465cfa,NEW_1773834729_ba465cfa.jpg,midi_dress,elegant,all_season,
NEW_1773834951_f110e92e,NEW_1773834951_f110e92e.jpg,maxi_dress,elegant,all_season,
NEW_1773835330_616c61df,NEW_1773835330_616c61df.jpg,maxi_dress,elegant,all_season,
NEW_1773836814_6ec1909e,NEW_1773836814_6ec1909e.jpg,maxi_dress,elegant,all_season,
NEW_1773837056_432356c7,NEW_1773837056_432356c7.jpg,maxi_dress,elegant,all_season,
NEW_1773837983_6d528048,NEW_1773837983_6d528048.jpg,midi_dress,elegant,all_season,
NEW_1773838126_16e54cfd,NEW_1773838126_16e54cfd.jpg,maxi_dress,elegant,all_season,
